model,effect,year_intro,series
MX-101,Phase 90,1974,Reference
MX-102,Dyna Comp,1974,Reference
MX-103,Blue Box,1974,Reference
MX-104,Distortion,1974,Reference
MX-105,Phase 45,1974,Reference
MX-106,Noise Gate Line Driver,1975,Reference
MX-107,Phase 100,1975,Reference
MX-108,10 band Graphic Equaliizer,1976,Reference
MX-109,6 band Graphic Equalizer,1976,Reference
MX-117,Flanger,1976,Reference
MX-118,Analog Delay,1976,Reference
MX-120,Envelope Filter,1976,Reference
MX-133,Micro Amp,,Reference
MX-134,Stereo Chorus,,Reference
MX-137,Power Converter,,Reference
MX-138,Power Plate,,Reference
MX-142,Distortion,,Reference
MX-143,Limiter,,Reference
MX-144,Loop Selector,,Reference
MX-148,Micro Chorus,,Reference
MX-152,Micro Flanger,,Reference
MX-157,Headphone Amp,,Reference
MX-1?,Paperweight,,Reference
MX-1?,Western N.A.M.M,1982,Reference
MX-180,Omni Multi Effect,1983,Reference
MX-181,Omni Footswitch,1983,Reference
M-161 MXR,Phaser,1981,Commande
M-162 MXR,Preamp,1981,Commande
M-163 MXR,Sustain,1981,Commande
M-164 MXR,Overdrive,1981,Commande
M-166 MXR,Time Delay,1981,Commande
M-167 MXR,Stereo Chorus,1981,Commande
M-168 MXR,Stereo Flanger,1981,Commande
M-201,Phaser,1982,2000
M-202,Dyna Comp,1982,2000
M-203,Stereo Flanger,1982,2000
M-204,Distortion,1982,2000
M-206,Time Delay,1982,2000
M-250,Stereo Chorus,1982,2000
M-210,Junior,1984,2000
